Country,HDI.rank,hdi.score,Population (millions),Est Population 2030 (millions),Life expectancy at birth,Expected years of schooling,Mean years of schooling,gdp.capita,Trade (% GDP),Foreign Investment (% GDP),Net Migration (per 1000),Tourists (000s),Internet Users (%),Mobile Phone (per 100),HDI rank,Avg Annual Growth (%),Urban-(%),Under age 5-(millions),Median age-(years),Young (0-14) per 100 adults (15-64),Old (65 and older)per 100 adults (15-64),Fertility Rate,Sex ratio at birth-(male to female births)
Mozambique,180,0.42,26.5,38.9,55.1,9.3,3.2,1123.44,70.5,42.8,-0.2,1886,5.9,69.7,180,2.5,32,4.5,17.3,87.4,6.4,5.2,1.03
Myanmar,148,0.54,53.7,58.7,65.9,8.6,4.1,4607.67,,,-0.4,2044,2.1,49.5,148,0.8,34.4,4.4,29.8,34.4,7.7,2,1.03
Namibia,126,0.63,2.3,3,64.8,11.3,6.2,9417.8,104.1,6.9,-0.3,1176,14.8,113.8,126,1.9,40.1,0.3,21.8,57,5.9,3.1,1.03
Nepal,145,0.55,28.1,32.9,69.6,12.4,3.3,2311.26,48.2,0.4,-2.9,798,15.4,82.5,145,1.2,18,2.9,23.1,53.4,8.6,2.3,1.07
Netherlands,5,0.92,16.8,17.3,81.6,17.9,11.9,45435.12,155.6,3.8,0.6,12800,93.2,116.4,5,0.3,84.3,0.9,42.4,25.8,27.8,1.8,1.06
New Zealand,9,0.91,4.6,5.2,81.8,19.2,12.5,32689.36,57.5,-0.3,3.3,2629,85.5,112.1,9,1,86.4,0.3,37.3,30.8,22.5,2.1,1.06
Nicaragua,125,0.63,6.2,7.4,74.9,11.5,6,4456.54,92.6,7.5,-4,1229,17.6,114.6,125,1.4,58.5,0.7,23.8,50.4,7.6,2.5,1.05
Niger,188,0.35,18.5,34.5,61.4,5.4,1.5,908.34,64.7,8.5,-0.3,123,2,44.4,188,3.9,18.6,3.8,15,106,5.5,7.6,1.05
Nigeria,152,0.51,178.5,273.1,52.8,9,5.9,5341.11,31,1.1,-0.4,600,42.7,77.8,152,2.8,51.5,31.4,17.7,83.9,5.1,6,1.06
Norway,1,0.94,5.1,5.8,81.6,17.5,12.6,64992.34,67,0.5,6,4963,96.3,116.5,1,1,80.2,0.3,39.2,28.6,25.2,1.9,1.06
